iter	Passed	Remaining
402	11423	16922
403	11441	16878
404	11461	16838
405	11479	16794
406	11497	16752
407	11517	16711
408	11532	16664
409	11546	16616
410	11561	16568
411	11580	16527
412	11598	16484
413	11616	16442
414	11633	16399
415	11652	16358
416	11669	16315
417	11688	16274
418	11707	16234
419	11725	16191
420	11742	16149
421	11757	16104
422	11774	16061
423	11796	16025
424	11817	15987
425	11833	15944
426	11854	15907
427	11872	15867
428	11890	15826
429	11911	15789
430	11969	15802
431	11990	15764
432	12006	15721
433	12026	15684
434	12046	15646
435	12066	15609
436	12087	15572
437	12107	15535
438	12123	15492
439	12144	15456
440	12162	15416
441	12181	15378
442	12200	15340
443	12216	15298
444	12236	15260
445	12255	15222
446	12271	15181
447	12294	15148
448	12319	15118
449	12338	15080
450	12353	15037
451	12374	15002
452	12395	14967
453	12412	14928
454	12432	14891
455	12449	14852
456	12470	14817
457	12495	14787
458	12516	14752
459	12535	14716
460	12554	14678
461	12574	14642
462	12591	14603
463	12612	14569
464	12635	14537
465	12651	14497
466	12671	14462
467	12689	14424
468	12707	14387
469	12731	14357
470	12752	14322
471	12792	14310
472	12817	14281
473	12838	14246
474	12853	14206
475	12871	14169
476	12891	14134
477	12915	14104
478	12933	14067
479	12952	14031
480	12969	13994
481	12991	13961
482	13011	13927
483	13029	13891
484	13050	13857
485	13070	13823
486	13090	13789
487	13111	13755
488	13181	13774
489	13202	13741
490	13221	13705
491	13239	13670
492	13261	13638
493	13278	13601
494	13296	13565
495	13316	13531
496	13338	13499
497	13356	13464
498	13413	13467
499	13472	13472
500	13492	13438
501	13510	13402
502	13530	13368
503	13549	13334
504	13570	13301
505	13590	13267
506	13612	13236
507	13634	13205
508	13654	13171
509	13672	13136
510	13693	13103
511	13713	13070
512	13735	13039
513	13752	13003
514	13769	12967
515	13787	12932
516	13807	12899
517	13821	12860
518	13840	12826
519	13859	12793
520	13876	12758
521	13891	12720
522	13918	12694
523	13941	12664
524	13960	12630
525	13978	12596
526	13997	12562
527	14016	12529
528	14035	12496
529	14056	12465
530	14076	12432
531	14097	12401
532	14111	12364
533	14127	12328
534	14146	12295
535	14168	12265
536	14185	12230
537	14201	12195
538	14220	12162
539	14242	12132
540	14261	12099
541	14278	12065
542	14295	12031
543	14313	11998
544	14333	11966
545	14350	11932
546	14369	11900
547	14387	11867
548	14404	11832
549	14420	11798
550	14437	11764
551	14453	11730
552	14472	11698
553	14492	11667
554	14525	11646
555	14541	11612
556	14566	11584
557	14584	11552
558	14600	11518
559	14615	11483
560	14631	11449
561	14650	11418
562	14672	11388
563	14694	11359
564	14715	11329
565	14737	11300
566	14753	11266
567	14772	11235
568	14791	11204
569	14811	11173
570	14828	11140
571	14845	11107
572	14861	11075
573	14879	11042
574	14897	11011
575	14914	10979
576	14931	10946
577	14948	10914
578	14964	10880
579	14982	10849
580	15001	10818
581	15017	10785
582	15034	10753
583	15051	10721
584	15071	10692
585	15086	10658
586	15106	10628
587	15120	10594
588	15139	10564
589	15159	10534
590	15175	10502
591	15194	10471
592	15208	10438
593	15228	10409
594	15246	10378
595	15263	10346
596	15281	10315
597	15301	10286
598	15318	10255
599	15336	10224
600	15357	10195
601	15375	10165
602	15392	10134
603	15411	10104
604	15430	10074
605	15446	10043
606	15465	10012
607	15482	9981
608	15504	9954
609	15529	9928
610	15543	9895
611	15558	9864
612	15577	9834
613	15593	9802
614	15611	9773
615	15631	9744
616	15647	9712
617	15661	9680
618	15682	9652
619	15701	9623
620	15715	9591
621	15732	9561
622	15749	9530
623	15765	9499
624	15779	9467
625	15797	9438
626	15816	9409
627	15839	9382
628	15861	9355
629	15883	9328
630	15897	9296
631	15913	9266
632	15933	9237
633	15949	9207
634	15963	9176
635	15982	9146
636	16000	9118
637	16019	9089
638	16038	9060
639	16057	9032
640	16077	9004
641	16091	8973
642	16112	8946
643	16133	8918
644	16152	8890
645	16167	8859
646	16186	8831
647	16206	8803
648	16222	8773
649	16238	8743
650	16255	8714
651	16270	8684
652	16290	8656
653	16305	8626
654	16323	8597
655	16337	8566
656	16386	8554
657	16450	8550
658	16465	8520
659	16484	8491
660	16504	8464
661	16519	8434
662	16537	8405
663	16558	8378
664	16573	8349
665	16589	8319
666	16609	8292
667	16625	8262
668	16640	8233
669	16660	8206
670	16689	8182
671	16727	8164
672	16751	8139
673	16769	8111
674	16787	8082
675	16803	8053
676	16823	8026
677	16842	7999
678	16860	7970
679	16879	7943
680	16899	7916
681	16916	7887
682	16936	7860
683	16954	7832
684	16969	7803
685	16989	7776
686	17006	7748
687	17027	7721
688	17047	7694
689	17069	7668
690	17084	7639
691	17099	7610
692	17118	7583
693	17134	7554
694	17149	7526
695	17170	7499
696	17190	7472
697	17208	7445
698	17227	7418
699	17244	7390
700	17258	7361
701	17273	7332
702	17292	7305
